airline_name,date,content,overall_rating
alaska-airlines,27/04/15,Upgraded to first class for our flight from SEA to DFW. Had seen Tom Douglas in the news lately talking his about the new menu he created for all Alaska flights. Our breakfast going down and dinner coming back was awful looking awful smelling and awful tasting. Many in 1st class that had the dinner on the return did not eat it. Even FA said she was embarrassed to be serving this meal. The spinach had a nasty smell to it.,8
alaska-airlines,10/04/15,Flew First LA to Pueto Vallarta and had several issues. Firstly leg room was the poorest I'd experienced in first class ever. Secondly the cabin was far too cold and no rugs are supplied. Thirdly several passengers were allowed to remain in a reclined seat position for landing a safety issue. Lunch offered no choice - the chicken wedge salad was inedible. Luggage took well over the 20 minutes to arrive on the carousel. I could go on but let's just say I won't be flying with them again.,
alaska-airlines,04/03/15,Kona - Oakland First class. What an improvement. Leaving United in the dust Alaska offers good food good service and decent leg room on this sector. Individual meals instead of all at one time distinguish this excellent offering from United using the same aircraft and only one hard working flight attendant. Finally a major carrier steps up and offers good service to and from Hawaii.,10
alaska-airlines,04/03/15,Great service Seattle to Kona. Major upgrade in meal entertainment and attitude since last years trip. Keep it up Alaska you won me over.,10
alaska-airlines,24/02/15,"I recently flew first class from Cancun Mexico to Seattle Washington. Having tried many times to upgrade and not having any luck I was excited that I finally got the chance. My boyfriend and I each used 10000 points to splurge on the trip home. I would never have done so if I knew how poor the service would be. Our steward was beyond rude. He offered no service whatsoever was totally unhelpful with any questions and hung out in the front away from the passengers. We had to ask for more water let alone a drink and when we did his attitude was atrocious. I realize first class isn't what it used to be but had I known what this would have been like I would have saved my points and stayed in coach I've had much better service there! Very disappointing for my first time going ""first class"".",1
alaska-airlines,23/01/15,I had never flown Alaska before this past 2014-15 Christmas/New Year season. My fiancÌ© had relocated for work to Portland OR from Massachusetts. We had two cats to move and decided it would be best for them to fly with me in the cabin for the holiday. The operator who booked the flights with my fiancÌ© was so helpful and made sure we had all the information we needed to get the cats ready. When I got to Logan Airport in Boston I was allowed to board early with the cat carriers. When one of my cats started getting antsy in her carrier and I had the carrier in my lap the stewardesses asked if the kitties needed anything. There was no fuss or problems traveling with the cats. Check in was smooth and easy on both going and coming. The Alaska Airlines staff is genuinely friendly and pleasant which is such a change from the canned fake concern most airlines staff seem to have. The mileage club is so easy to use and keep track of miles. It is nice to see that customer service is still a virtue in some companies.,9
alaska-airlines,21/01/15,"Yesterday January 19 2015 I flew Flight 16 from Seattle back to Orlando. It had been a round-about 48 hour visit to an ill relative and I was exhausted from having to rise in the wee hours AM to board coming and going on the only non-stop flight. It has been many years since I have seen flight attendants so ""up-beat"" and kind with a sense of humor in the face of a fully packed jumbo jet. And too many years since I have seen well-groomed stewardesses actively caring for each passenger. Accolades to Alaska Airlines for returning to a more gracious time during these chaotic ones.",10
alaska-airlines,14/01/15,Travelled from Philadelphia to Maui via Seattle. Flew first class. After take off flight attendant stated that there were only 16 first class meals on board for the 16 first class seats. There were two choices of menu 8 each. She started taking orders at the front of the first class section and I was setting in the back when she got to me there were no choices left take the remaining selection or nothing. So I end up with nothing. She came back and offered me a cheese platter with 7 grapes and two so so cheeses and some crackers. Seats were standard first class seats which did not come close to lay flat. Hand held entertainment device did not work. Poor excuse for a first class flight.,5
alaska-airlines,11/01/15,Returned early this morning from my flight Redmond to Seattle to Anchorage on Alaska in First. (upgraded). This flight was fine once we got into the air. Our plane had an issue or two which prevented an on time takeoff. We were about 70 minutes delayed but the crew did a fine job keeping everyone informed and did their usual fine job for the passengers. Paul was our employee in first and did an outstanding job great humor and fantastic work ethic. Even though we were late getting home to the Greatland nobody on board (from what I saw) griped about it. We were just glad to be back home.,9
alaska-airlines,05/01/15,Flew LAX-SEA-BLI on B737-900. Took the offer of a first class upgrade for $50. Friendly attentive crew and a meal was served. I always find Alaska good value for the money. The only drawback is the constant PA's telling you how to do everything from how to stow your bag in the overhead to not using the call bell unless it's a medical emergency. All in all though a safe comfortable and reasonably priced service.,9
alaska-airlines,05/01/15,"SEA to IAH return. First time flying on Alaska. Both legs were on time. Service was friendly. I appreciate the communication from the pilot or first officer with respect to turbulence and what's happening with the flight. Leg room was decent for economy class. Not a big fan of their food and beverage selections. Being a bit of a nervous flyer I generally tend to ask for 3 glasses of red wine when drink service is offered so I can slip slowly and make them last for a 4 hour flight and mellow out. One Flight Attendant took exception to me ordering 3 glasses (apparently fearing I was going to become intoxicated on the flight). In addition the wine service is poured from a bottle into a plastic cafeteria cup. Other airlines simply give you a little bottle which you pour yourself (which I much prefer). So this aspect was about the only thing that I give a thumbs down to. Another thing I like about some other airlines you have your own IFE system display. For me it's a matter of simply selecting ""My Flight"" as I like to see the progress of the flight. Not possible with Alaska.",7
alaska-airlines,05/01/15,Flew BLI-SEA-SNA. Bellingham to Seattle on Horizon Q400. No service offered on this sector. Comfortable flight. Only 45 minute connection time in Seattle however made it to the next gate with ease. Boarded the B737-700 from the tarmac in the cold pouring Seattle rain instead of via an airbridge. Crew were efficient but no smiles or interactions with the passengers. Legroom excellent for economy and seat very comfortable. Really convenient being able to fly into John Wayne airport. I fly with Alaska fairly often and always find their service comfortable reliable and good value for the money.,9
alaska-airlines,29/12/14,Left Santa Ana late because plane arrived late. Had connection in Portland and we only had now 5 minutes to get from gate C to lower level gate A. Dozen or so people running to their gates. Luckily for us there were several flyers going to Eugene so the flight was held and even waited for luggage. Thank you Alaska Airlines for making the end of our vacation a happy ending.,10
alaska-airlines,22/12/14,SEA-IAH first class 739 equipment. Boarding was fine and efficient. Left about ten minutes late due to catering not being available until last minute. Hit cruise 19 minutes into flight but it was fully an hour before FA served drinks. Nothing unusual going on so this was inexplicable. Service was friendly but very slow.,6
alaska-airlines,10/12/14,Recently traveled for the first time on an Alaska Airlines flight from San Diego-Boston. It was the best domestic flight I have experienced. The 4 cabin crew members were excellent and very customer engaged with passengers needs. The flight wasn't full and they came to me and asked if I wanted a row of seats to myself to relax for the duration of the flight. The service was great 3 rounds of snack and beverage service for the 5-hour flight. The aircraft was a Boeing 737-800 and the legroom was great. A job well done. I look forward to flying onboard in the near future. The only downfall to Alaska Airlines is they charge $10.00 for a video recorder to watch the movies. There should be no charge for that as it should be complimentary since snacks sandwiches and alcohol are charged to the customer.,10
alaska-airlines,10/12/14,12/1/14 ORD-SEA Flt 29. Arrived at the airport about 1.5 hours early. Only 1 agent at the counter. Waited about 15 mins before another agent appeared to assist. Once there it went smoothly and quickly. Boarding was efficient and able to be seated quickly. We were issued their digiplayers. Fair selection of movies to view but really no place to put the player when the meal arrived. A bit cumbersome. Meal offered was one choice only. It was tasty but portions have certainly been scaled back. Flight attendant disappeared after the meal service. Arrived on time. However I remember Alaska having a far superior service to that of its rivals but this flight did not prove that at all.,3
alaska-airlines,10/12/14,12/4/14 SEA to ORD Flt 22. When checking in one has to perform a self bag tag and then take the luggage to the check in desk. There were 2 of us - we had 1 bag to check. It was over by 4lbs but since you are allowed two pieces of luggage per person we were well with in the weight limit. Too bad cost $75. Flight departed on time. Staff were friendly service was standard. Same meal offered on both segments but yet again nothing remarkable that would make me select this carrier over the competition. Once meal was served and one refresher of drinks the FA disappeared. I was disappointed with the overall service. It is not what I was accustomed to. A digiplayer for the entertainment was handed out but it is cumbersome to have on your tray table when the meal is served.,3
alaska-airlines,04/12/14,SEA-LAX. Standard seating food etc for a 2.5 hour flight. As first class has an advantage over others in that you get access to their airline club even if you are flying just domestic and not connecting to an international flight (and aren't a club member). Alaska has both refundable and non-refundable first class fares. Non-refundable is about 1/2 the cost of the refundable but is not available on all routes (e.g. we were going to fly to BUR but only fc fare was refundable so we chose to fly to LAX instead).,8
alaska-airlines,01/12/14,Traveled first class San Diego to Boston on 11/20/14. Plane left on time clean friendly flight attendants good breakfast and service and champagne. No complaints and felt it worth the money.,9
alaska-airlines,11/11/14,Flew one of the Alaska/Horizon regional routes PDX-MFR night flight. The flight was originally at 9.05-ish but was delayed to 9.55. Got info 3 hours ahead of time and we still boarded late because traffic on the taxiway. Once aboard seats were fairly comfy flight attendants were friendly easily accommodated my sister's severe nut allergy made sure no nut-containing items were aboard the plane (standard airline safety procedure) and served two drinks for a flight less than an hour. Not bad Alaska.,7
alaska-airlines,28/10/14,10-12-14 early flight SMF to SEA. Seats were thin but comfortable legroom seemed a bit more generous than the space I'm used to on other carriers seats had power outlets. I flew Alaska as part of a Delta flight from SMF- SEA-DTW-TVC the ticket purchased with my spouse's frequent flyer miles. I would choose to fly Alaska again over another airline even if the ticket price was higher. The aircraft didn't have entertainment. The food selection looked decent although I didn't buy any.,8
alaska-airlines,28/10/14,Flew Alaska MCI to SEA return in First. Both legs were pleasant but the service on the outbound leg got off to a slow start with no pre-take off beverage offered. However once we were in the air the flight attendant was very quick to begin beverage service. Seats were comfortable but the pitch was a little tight I wish Alaska would invest in some bigger planes for their longer cross country flights in order to have a larger First Class cabin. Food was very good served plated and fresh. Check In both in Kansas City and Seattle was extremely easy and the Board Room in Seattle was pleasant. For a full fare ticket it wasn't an overall bad experience but felt that I overpaid slightly for what I got. Will fly Alaska First again in December and am looking forward to gaining elite status with them. Their mileage earning partnerships cannot be beat and I love that I can fly Delta American British Airways and Emirates as needed and still earn miles.,9
alaska-airlines,12/10/14,Flew from SFO to ANC to SFO with stopover in SEA on 5th and 13th September 2014. These were routine flights. There were no delays in fact each leg was a few minutes ahead of schedule and baggage came out in the first few minutes. The Champagne and Beer was cold the food was really just snacks as we travelled in between normal mealtimes. This was good value as we were allowed 2 pieces of luggage each. I would definitely recommend this airline.,9
alaska-airlines,01/10/14,My wife and I travelled to SEA and return to ANC recently on Alaska. No issues at all problem wise. Both flights were fine crews were great lanes clean on time arrivals etc. I tried to upgrade to First as I am a MVP Gold member but alas no luck. Maybe next time. I told my spouse it is a nice experience and she was hoping to see it firsthand. Anyhow keep up the good work and thanks Alaska.,9
alaska-airlines,01/10/14,Took Alaska to Cabo on Sept 15th Alaska stated flight is still going. Get to San Diego Cabo flight still going. 30 minutes later our flight is cancelled. Alaska says no seats open back to Seattle tough luck. Find out the Cabo airport was shut down the day before and Alaska flew us to San Diego knowing this.,1
alaska-airlines,14/09/14,I had a flight scheduled from ATL-SEA and the day of it was cancelled. So just four hours before my flight I was scrambling to get another flight that day.. Not only that but they didn't even send an alert that the flight was cancelled. My google alerts notified me about the cancellation. The customer service is non-existent and I will never book with them again. Book at your own risk!,
alaska-airlines,09/09/14,Returned last week from a ANC-SEA-ATL and return in First. No complaints with the flights at all. As usual (for me) the service was outstanding the planes clean and the flight crews were very friendly. We were told we would be departing ATL about an hour late due to a crew rest issue. This would cause me to miss my connection to ANC in Seattle. I was rebooked quickly by the ATL folks. I caught my flight with minutes to spare in SEA but of course my bag did not show until the next flight. The Alaska employee at baggage claim was tired and a bit grumpy but I was given a coupon for 2500 miles and that was fine with me. Besides this issue all was great. Looking forward to our next flight to SEA this Thursday evening.,9
alaska-airlines,01/09/14,We have just arrived back in New Zealand after our Alaskan cruise and would like to commend Alaska Airlines customer service desk for their excellent and sympathetic response to out late arrival due to tardy shuttle service resulting in our late arrival at LAX airport. We were very stressed as were to travel to Seattle the staff member advised that although our flight hadn't quite left it was indeed too late to get on but immediately advised that they had a flight every hour and could get us on the next flight. After all this there was no extra charges for this change we were so impressed with that.,10
alaska-airlines,01/09/14,Alaska is our airline of choice. MCI-SEA-ANC flights generally good and on time. New Sky interior slimline Recaro seats (a bit uncomfortable). On landing at Anchorage the pilot apparently took a wrong taxiway or misjudged the turn as he braked to a halt (squeal on the brakes hard stop) then used reverse thrusters to turn the plane completely around. ANC-SEA-MCI late flight out of ANC substituted a smaller plane which put us in a non-recline seat. All in all we have been satisfied with Alaska and will continue to use them as these are somewhat minor issues and tend to be found on all airlines.,9
alaska-airlines,28/08/14,I flew Alaska non-stop from Dallas to Portland first class. The crew were very friendly and attentive to everyone's needs. We had an hour delay after boarding the aircraft in Dallas but the crew kept everybody informed and kept serving drinks and a small snack for us. Very impressed with their first class service.,10
alaska-airlines,28/08/14,"Recently flew on Alaska Airlines with my 2 longer legs (TUS to SEA and ANC to PDX) in First Class. On these flights (along with the other 2 segments) the flight and flight crew were fine. My complaint is with what defines ""First Class"" to Alaska Airlines. On TUS-SEA our meal consisted of a chicken sandwich and a chocolate mint! No inflight entertainment devices provided. On the ANC-PDX segment (which was 2.45 Alaska time to 7am PDX time). No wake-up breakfast which meant zero food provided at all. Flight attendant asked if we wanted anything as we were already in the process of pre-landing operations. And since an overnight flight no inflight entertainment. Guess I'm expecting too much for paying for a first class seat.",8
alaska-airlines,28/08/14,"Flying from Soldotna AK we were fogged in. In only takes a short while for fog to burn off but they delayed the flight twice and then canceled it. I had the option to either have a 12 hour layover in Anchorage or spend the night in Seattle's airport. After waiting 3 hours I was flown to Anchorage. I had 100lbs of frozen fish I worked hard catching. Alaska air refused to help in any way. No mailing my fish home no putting it in a freezer. They refused to put me in a hotel to sleep no options whatsoever. I called them and the woman told me ""We can't pick up the tab for every act of God"" and ""this happens all the time."" Once in Anchorage I tried to switch to the flight where I stay overnight in Seattle because someone I knew had a freezer and I could stay there. Customer service said 1 seat was left while asking her supervisor permission the seat was taken. I took the next flight 4 hours later only to find out the freezer was unavailable so late at night. So I was sent by customer service to get my fish from baggage (it was checked) then come back. I did and asked again to change to the plan to layover 12 hours in Anchorage. I went and waited in line again. I got my fish into the freezer in Anchorage for 28$ not bad but I shouldn't have to pay for that. 3 hours in Soldotna 12 hours in Anchorage a red-eye flight to Seattle then another 3 hour lay-over until my next flight home which is only a 2.5 hour drive. I was so exhausted. I can't believe this happens all the time and everyone lets them get away with this.",
alaska-airlines,28/08/14,My first flight from Vancouver to Seattle was great - the crew were fantastic. However my flight from Seattle to Salt Lake City was not very enjoyable. I found the crew to be lazy and rude. I tried to order a beverage on the plane and they had closed out early (1 hour early) and right after they had passed with the drink cart. I've flown before and unless there is turbulence then typically a plane will serve you until about 30 minutes before landing. One flight attendant was very rude. I usually love flying Alaska and was about to apply for my Alaska Air credit card but this was very disappointing. I think I may hold back on applying because of this particular experience.,4
alaska-airlines,26/08/14,This week on my trip to Seattle I flew Alaska Airlines when in the past I would normally fly United. Alaska Airlines far exceeded my expectations. If I could use them to fly everywhere I would. The flight attendants actually seemed happy and were very nice. The seats were extremely comfortable - much more comfortable than other flights that I've been on. The plane was clean. I will definitely fly with Alaska Airlines anytime I can.,10
alaska-airlines,18/08/14,We flew from Maui to Seattle with a connection in Seattle to Washington D.C. First the plane leaving Maui was delayed for over 3 hours. Alaska Airlines took us off our connecting flight without telling us (Seattle to D.C.) and booked us on a much later flight. Thank goodness I checked before departing from Maui. I was told that they didn't think there would be enough time to make the connection. I asked for them to get me on another flight/airline where I wasn't waiting for my connection for five or more hours. They couldn't do this I was told. I demanded to be put back on the earlier connection and told them I would attempt to make the connection although I had less than 30 minutes to do so. I was told that my seats were already taken by someone else. I informed them that tickets had been given to me already for my seats and they had better get me back on that plane. After some time they did get me back onto the connecting flight from Seattle to D.C. The plane from Maui to Seattle took off several hours late and it did not have very good air conditioning. The plane was hot poor service and I was not impressed at all with Alaska Airlines. I will never fly with them again. The connecting flight from Seattle to D.C. was also very hot on the plane. Don't fly Alaska Airways. Go with another carrier such as United Delta or American Airlines.,
alaska-airlines,05/08/14,Flight was supposed to depart at 1.30pm from Seattle to Long Beach but it didn't. For the first hour the flight was delayed because one of the aircraft crew was late‰Û Then we were told the flight was delayed for another 3 hours. I could not wait any longer. I requested to be put on another available flight to California. I was placed on flight # 464Y Seattle to Los Angeles with departure time at 7.25 pm. I wasted 6 hours of my time and I had to pay an extra fee to rent a car from LAX area and pay with higher rate. I arrived in a hotel at 11.30 pm. The trip to Long Beach took me 12 hours instead of 5 hours. I would be OK with this if the flight back to Seattle had not been canceled too. Flight 3477 from Long Beach to Seattle with departure time at 7.25 pm was canceled because of some engine problems. At 11.00 pm I was told that the aircraft would not be fixed any soon and all hotels around Long Beach and LAX were booked. I had to take a taxi to LAX and had to sleep on the bench in LAX airport so I could finally fly to Seattle on the 6am flight. It was the worst experience in flight and I am flying for business a lot.,
alaska-airlines,02/08/14,Flew LAX to DCA. Delay leaving LAX due to air traffic congestion but was kept informed. The seats were pretty uncomfortable considering this was a 5+ hours flight. I was very glad that I purchased a 'comfort seat' alongside as I was coming off a 15 hour flight from Australia and had space to spread out. The cabin crew were lovely and most helpful. We had a strange delay in DCA as we arrived 2 hours late due to earlier delay and adverse weather around DC and the Alaska gate was taken by another Alaska plane and we ended up waiting around 30 minutes on the tarmac for space to be found. Would use them again but would definitely purchase the comfort seat for added space.,7
alaska-airlines,02/08/14,We traveled home from Las Vegas on Tuesday July 29. Our plane was 4.5 hours late and I cannot say enough how great the Alaska Airline staff were . They were very helpful apologetic and kept us informed the entire time on what the updates were on our flight and when we could expect to take off. We really appreciated the positive attitude and genuine care of their employees. It made the inconvenience of having to wait for our flight much easier and very helpful.,10
alaska-airlines,02/08/14,Just returned from my trip south ANC-SEA-EUG and returned EUG-PDX-ANC. All flights were fine the crews were all professional clean aircraft on time and the food was quite decent. We had quite a few young children flying back to Alaska with their parents from 3 months of age up to five in my section. The flight attendants were very helpful and appeared to enjoy the interaction with the little ones. I flew the 400 model combi south for the first time. Not bad at all for a red eye flight. All in all a fine experience.,9
alaska-airlines,29/07/14,July 24th. Flew SLC-SFO in the morning and returned the same evening. Best short haul domestic experience this year. Boarding handled smoothly. Flight crew extremely polite and courteous. Cabin nice clean and the temp. Was well controlled. Both flights on perfect time. Will try to fly more with Alaska if possible.,9
alaska-airlines,20/07/14,Flew from Orlando on 5/29/14. Flying from Tampa to Seattle on 8/9/14 and returning on 8/31/14. Crew were attentive friendly and a pleasure to spend 5.5 hours with. Food was fresh warm and tasty. I am so happy they added round trip non-stop Tampa to Seattle. Absolutely perfect for me.,10
alaska-airlines,12/07/14,PHX-SEA and back. The crew signed my Alaska Airlines history book they all chatted with me and seemed in good spirits. The flight was handled smoothly and the drinks and food was generous considering what we got was being offered free (sandwiches however cost 6 dollars on economy class).,10
alaska-airlines,08/07/14,Flew from Los Angeles to Anchorage on Alaska 149. The flight left and arrived in destination on time. The purchase food quality and quantity were OK. The drinks provided during the flight are more than adequate. The service was nice.,7
alaska-airlines,06/07/14,Plane delayed due to mechanical trouble. So they re-routed another flight and changed the direction of the flight and the stops although still ending up in Seattle where we were headed. So instead of leaving around 11am we left more like at 4pm. At our first stop in Wrangel some people got on. Then some more. Then a few more. After a while the crew started counting passengers. Then did it again. And again. Then they started asking names as well as counting. Then did that again. And again. And again. As far as I could tell they never found any trouble and never made anyone leave the plane. Then they said we were overweight and had to unload some fuel. After that they started counting and naming again. When I asked if they be serving dinner since it was now after 4 and we wouldn't get to Seattle until after at least 9 pm they said they had 4 wraps on board to sell. The CSA then came on the plane and yelled at me for delaying the plane! For asking if we'd get fed! More than an hour after that harangue we left. We arrived in Seattle around 1 am hungry.,
alaska-airlines,23/06/14,ANC to SLC return in First both directions. I have no complaints whatsoever. The food was fine the service was excellent on-time both directions and the plane was clean. Their SLC growth (# of flights to and from there) has not affected their great customer service negatively as far as I could tell. One thing which was different on the return flight though was that the flight attendant came around prior to our landing and thanked each customer for flying with Alaska and I felt she meant it. It was a small but very classy thing to do as I have never seen this before. It is the small but kind gestures that help make a difference when I fly. Keep it up Alaska!,9
alaska-airlines,09/06/14,PSP-PDX-LAX. Two flights with Alaska both of which were on time departures and arrivals. Friendly cabin crew adequate legroom. All in all a good experience.,9
alaska-airlines,04/06/14,In May I flew with the airline three times: San Francisco to Seattle at the start of my visit then a return flight at the end. In between I flew from Palm Springs to Seattle with the airline. All were good and timely. My main comments are words of praise for the check-in team at Seattle at the start of my return flight when they worked long and diligently to ensure my luggage in the hold was correctly tagged directly back to my home airport in Perth Australia for that 21-hour flight via Hong Kong.,9
alaska-airlines,01/06/14,I flew from Seattle to Anchorage on a 737-800 with the new slimline Recaro seats. Each seat had a power outlet with a USB port and the seats were very comfy with an adjustable head rest and more legroom compared to the old seats. I noticed that there was no longer a barrier between first class and coach but maybe they will install it later. I had 30 minutes of free Wi-Fi thanks to a partnership with Allstate. I tested the speed at 2 Mb/sec download and 0.25 Mb/sec upload. I rented an entertainment player for $8 and had time to watch a movie along with a few other clips. The devices are a little slow and touchy but are still functional. Soon Alaska Airlines will offer entertainment on your own iPads laptops etc. I purchased the chicken dinner for $6 which consisted of boneless chicken breast mashed potatoes and green beans and actually tasted very good. The drink cart went around 2 times during the 3 hour flight and the second time I had delicious orange Tazo tea. Overall a great experience with great service all around!,10
alaska-airlines,29/05/14,Just back from my 3 week tour of the Lower 48 using Alaska from ANC-SEA-ATL return in First. All aspects of my various flights went smoothly. Very enjoyable experience. Flight crews were attentive clean aircraft arrival times early on most of the flights and the food was quite good as well. No complaints at all. Heading south again in two weeks to SCL. Looking forward to the Alaskan Experience once again.,9
alaska-airlines,25/05/14,My Wife and I have used various Airlines in USA fairly extensively over the years. First time on Alaskan and can only highly recommend them. Service from check in Kerbside to arrival destination was perfect and should ever we visit USA again will use them if opportunity exists.,10
alaska-airlines,07/05/14,Just back from a trip from ANC to Portland then SMF and return. We departed about 40 minutes late from ANC due to a switch issue but made up for it enroute. We had a medical emergency also but the passenger was given oxygen and was well cared for by the crew. Horizon provided the flight south to Sacramento and that was fine in all regards. The trip back was nearly perfect. My only issue is the waiting room in Portland it is a zoo! Otherwise - great!,9
alaska-airlines,01/05/14,Flew SEA to SAN in April. Absolutely flawless. Check in was simple and hassle free. Once onboard all cabin crew were so pleasant. Repeated drinks service throughout the flight. One passenger taken ill the crew were reaching out for doctors onboard and they also stood by. Plenty of legroom in economy. Aircraft 737-800 seemed brand new. Interior was clean and fresh. Baggage was on the belt in no time despite it was a short walk from the gate to the belt. Absolutely on top of my choice among American carriers.,10
alaska-airlines,23/04/14,I flew Palm Springs to Portland. We departed Palm Springs 5.5 hours late due to a wind/dust storm. The crew were fantastic. We were on and off the plane a couple of times. The passengers never got cranky because of the high degree of professionalism and good vibes from the crew. I have never had a bad flight on Alaska and it is always my first choice.,10
alaska-airlines,22/04/14,"Returned last week from my annual trip to Reno from ANC. The flight out was fine good service clean plane and landed a few minutes early in SEA. The flight to RNO was great on Horizon good crew with great service. The only complaint I have are the gates at Portland for the ""Seattle Shuttle"" are pretty crammed together and I accidentally tried to board the wrong flight. The gate agent pointed this out to me and was a bit short attitude wise. I asked about how many flights are leaving at 3.30? She said ""one at that time and the one you are on starts to board at that time and leaves at 4! I was not the only person who had this issue but no problem after that. I got to SEA and the flight home to ANC was fine. I will be flying them again this next Monday going to SMF. I expect my flights will be fine.",8
